id,name,is_active,created_at,updated_at,UNLOCODE,place_identity_id,vendor_place_id
1,Eleuthera Is.,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,BSELE,PI1B95964,
2,Cambodia,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,KH,PI1B57722,
3,Vietnam,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,VN,PI1DC2C14,
4,Phnom Penh,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,KHPNH,PI1CECD62,
5,Vung Tau,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,VNVUT,PI1DC83EE,
6,Vung Tau Anch.,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,VN,PI1DC8498,
7,Nha Be,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,VNNHB,PI1CA1B8C,
8,Ca Na,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,VNCNA,PI1B523A8,
9,Ashdod,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ILASH,PI1B10F2A,
10,Gaza,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,,PI1BB5D4A,
11,Spain,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ES,PI1D6E9CA,
12,San Sebastian(ESP),t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ESEAS,PI1D4378E,
13,Orio,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ESORI,PI1CB781A,
14,Guetaria,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ES,PI1BCF20E,
15,Lequeitio,t,2018-10-12 12:46:21+00,2018-10-12 12:46:21+00,ESLQO,PI1C4E090,
16,Zumaya,t,2018-10-12 13:18:10+00,2018-10-12 13:18:10+00,ESZMY,PI43709712,